d,provider,company,open,added,removed
2026-09-01,ashby,1password,63,2,1
2026-09-01,ashby,1x,82,0,0
2026-09-01,ashby,8vc,6,0,0
2026-09-01,ashby,9fin,34,0,2
2026-09-01,ashby,Abound,21,0,0
2026-09-01,ashby,Acorns,11,0,0
2026-09-01,ashby,AeroVect,39,3,3
2026-09-01,ashby,AfterQuery,33,6,1
2026-09-01,ashby,Agentis-Capital-Advisors,29,0,0
2026-09-01,ashby,Antares,61,3,0
2026-09-01,ashby,Authorium,8,0,0
2026-09-01,ashby,Carwow,34,0,0
2026-09-01,ashby,Close,5,0,0
2026-09-01,ashby,Coder,28,2,0
2026-09-01,ashby,Commure,73,2,1
2026-09-01,ashby,Crusoe,379,6,4
2026-09-01,ashby,Ekho,4,0,0
2026-09-01,ashby,EliseAI,109,1,3
2026-09-01,ashby,Etched,109,1,0
2026-09-01,ashby,FSH,8,0,0
2026-09-01,ashby,Fuse,38,0,0
2026-09-01,ashby,G2,33,1,1
2026-09-01,ashby,GovSignals,5,0,0
2026-09-01,ashby,Gumloop,10,0,0
2026-09-01,ashby,Inclined,3,0,0
2026-09-01,ashby,KAYAK,46,0,0
2026-09-01,ashby,Kognitos,8,0,0
2026-09-01,ashby,Lightfield,19,1,0
2026-09-01,ashby,Lunon,1,0,0
2026-09-01,ashby,Lynk,19,0,0
2026-09-01,ashby,MUBI,4,0,0
2026-09-01,ashby,MaticRobots,19,0,0
2026-09-01,ashby,Mintlify,20,0,1
2026-09-01,ashby,NPX,12,0,2
2026-09-01,ashby,Nash,17,0,0
2026-09-01,ashby,NorthwoodSpace,84,1,0
2026-09-01,ashby,Ontic,17,1,0
2026-09-01,ashby,Perchwell,3,0,0
2026-09-01,ashby,abby-care,24,0,2
2026-09-01,ashby,abridge,40,0,2
2026-09-01,ashby,abundant,7,0,0
2026-09-01,ashby,adaption,9,0,0
2026-09-01,ashby,adaptivesecurity,15,0,0
2026-09-01,ashby,aditude,7,0,0
2026-09-01,ashby,airspace-intelligence.com,28,0,0
2026-09-01,ashby,algo1,7,0,0
2026-09-01,ashby,allen-control-systems,78,3,2
2026-09-01,ashby,allica-bank,38,0,0
2026-09-01,ashby,alljoined,6,0,0
2026-09-01,ashby,alloyenterprises,5,0,0
2026-09-01,ashby,alphalifesci,10,0,0
2026-09-01,ashby,alta-ares,28,0,0
2026-09-01,ashby,ambral,3,0,0
2026-09-01,ashby,ambrook,17,0,0
2026-09-01,ashby,amigo,14,0,0
2026-09-01,ashby,amplify,40,5,6
2026-09-01,ashby,ando,6,0,0
2026-09-01,ashby,anglehealth,1,0,0
2026-09-01,ashby,anima,7,0,0
2026-09-01,ashby,anterior,5,0,0
2026-09-01,ashby,anthelioncap,3,0,0
2026-09-01,ashby,apex-technology-inc,95,5,3
2026-09-01,ashby,apiphany,7,0,0
2026-09-01,ashby,applied,307,6,0
2026-09-01,ashby,apron,4,0,0
